Accuracy, Threshold, MoveMeanSize, MinHertz, MaxHertz, StepBuffer, PeakAverage
0.86868,10000,32,1.6,2.5,10,3,
0.867863,12000,32,1.6,2.5,10,3,
0.867455,13000,32,1.6,2.5,10,3,
0.866987,13000,32,1.9,2.2,10,3,
0.866925,11000,32,2.3,3.2,10,3,
0.86692,14000,32,2.2,2.6,10,3,
0.866832,15000,32,2.2,2.9,10,3,
0.865822,14000,32,1.6,2.5,10,3,
0.865475,8000,32,1.7,2.2,10,3,
0.86425,12000,32,1.7,2.2,10,3,
0.86425,15000,32,1.7,2.2,10,3,
0.86425,14000,32,1.7,2.2,10,3,
0.86425,11000,32,1.7,2.2,10,3,
0.86425,13000,32,1.7,2.2,10,3,
0.86419,15000,32,1.6,2.5,10,3,
0.86371,15000,32,2.2,2.7,10,3,
0.863629,13000,32,2.2,2.4,10,3,
0.863026,10000,32,1.7,2.2,10,3,
0.862728,8000,32,2.3,2.9,10,3,
0.862498,14000,32,1.9,2.2,10,3,
0.862485,13000,32,2.2,2.7,10,3,
0.862434,8000,32,1.6,2.4,10,3,
0.862211,11000,32,2.3,3.1,10,3,
0.861801,9000,32,1.7,2.2,10,3,
0.861243,11000,32,2.2,2.5,10,3,
0.861211,8000,32,2.3,3.2,10,3,
0.861097,8000,32,2,2.2,10,3,
0.861097,9000,32,2,2.2,10,3,
0.860835,12000,32,2.2,2.5,10,3,
0.860803,10000,32,2.3,3.2,10,3,
0.860393,10000,32,1.6,2.4,10,3,
0.860393,9000,32,1.6,2.4,10,3,
0.859986,9000,32,2.3,3.2,10,3,
0.859985,11000,32,1.6,2.4,10,3,
0.859873,10000,32,2,2.2,10,3,
0.859865,8000,32,1.5,3.2,10,3,
0.859865,10000,32,1.5,3.2,10,3,
0.859865,9000,32,1.5,3.2,10,3,
0.859762,8000,32,2.3,3.1,10,3,
0.859463,9000,32,2.3,2.9,10,3,
0.859457,12000,32,1.5,3.2,10,3,
0.859457,11000,32,1.5,3.2,10,3,
0.859457,13000,32,1.5,3.2,10,3,
0.85922,14000,32,2.2,2.7,10,3,
0.85876,12000,32,1.6,2.4,10,3,
0.858648,11000,32,2,2.2,10,3,
0.857944,13000,32,1.6,2.4,10,3,
0.857914,12000,32,2.2,2.4,10,3,
0.857152,10000,32,2.3,3,10,3,
0.856948,8000,32,1.5,3,10,3,
0.856948,10000,32,1.5,3,10,3,
0.856948,9000,32,1.5,3,10,3,
0.856606,11000,32,2.3,2.9,10,3,
0.85654,11000,32,1.5,3,10,3,
0.85654,12000,32,1.5,3,10,3,
0.85654,13000,32,1.5,3,10,3,
0.856311,14000,32,1.6,2.4,10,3,
0.856307,15000,32,2.2,2.6,10,3,
0.856282,14000,32,2.2,2.4,10,3,
0.856088,9000,32,2.3,3.1,10,3,
0.855927,11000,32,2.3,3,10,3,
0.855723,9000,32,1.5,2.9,10,3,
0.855723,10000,32,1.5,2.9,10,3,
0.855723,8000,32,1.5,2.9,10,3,
0.855519,8000,32,2.3,3,10,3,
0.855495,15000,32,1.6,2.4,10,3,
0.855383,12000,32,2,2.2,10,3,
